All Registered Apps (71 Total)
Generated: 2026-04-12
=====================================

#  | App Name                       | Repo                                      | Visibility | Description
---|--------------------------------|-------------------------------------------|------------|-------------------------------------------
1  | vient-healthcare               | fistasolutions/vient-healthcare            | Private    |
2  | vient-healthcare-backend       | fistasolutions/vient-healthcare-backend     | Private    |
3  | vientaiagents-backend          | fistasolutions/vientaiagents-backend        | Private    |
4  | vientaiagents-frontend         | fistasolutions/vientaiagents-frontend       | Private    |
5  | AgentFlow                      | rsmolarz/AgentFlow                         | Public     |
6  | AlpahaFactory                  | rsmolarz/AlpahaFactory                     | Private    | KPIs and analytics platform (AI driven)
7  | AlphaFactory                   | rsmolarz/AlphaFactory                      | Private    |
8  | AutoFind                       | rsmolarz/AutoFind                          | Private    |
9  | Automated-Business-Bottleneck  | rsmolarz/Automated-Business-Bottleneck     | Private    |
10 | Claw-Companion-Watch           | rsmolarz/Claw-Companion-Watch              | Private    |
11 | Course-Creator-AI              | rsmolarz/Course-Creator-AI                 | Private    |
12 | Deal-Stack                     | rsmolarz/Deal-Stack                        | Private    |
13 | Deathbook-Notes                | rsmolarz/Deathbook-Notes                   | Private    |
14 | DrRyans                        | rsmolarz/DrRyans                           | Private    |
15 | ENT-Workflow-AI2               | rsmolarz/ENT-Workflow-AI2                  | Private    |
16 | Elite-CRM                      | rsmolarz/Elite-CRM                         | Public     |
17 | Family-Hub                     | rsmolarz/Family-Hub                        | Private    |
18 | Family-Vault-Enterprise        | rsmolarz/Family-Vault-Enterprise           | Private    |
19 | FinCommand                     | rsmolarz/FinCommand                        | Private    |
20 | Guardian-Layer                 | rsmolarz/Guardian-Layer                    | Public     |
21 | Home-Harmony                   | rsmolarz/Home-Harmony                      | Private    |
22 | Hornets-Nest                   | rsmolarz/Hornets-Nest                      | Private    | BH owners assembly and discussion platform
23 | Insight-Hub                    | rsmolarz/Insight-Hub                       | Private    |
24 | InvestIQ-Predictor             | rsmolarz/InvestIQ-Predictor                | Private    |
25 | LLM-Dashboard                  | rsmolarz/LLM-Dashboard                     | Public     |
26 | Lead-Getter-Suite              | rsmolarz/Lead-Getter-Suite                 | Private    |
27 | LifeOS                         | rsmolarz/LifeOS                            | Private    |
28 | LifeOS-Automator               | rsmolarz/LifeOS-Automator                  | Private    |
